node_id,area,coord,node_type_raw,node_type_norm,x,y,current_alliance,owner_server,owner_server_source,server_side,pact_status,pact_source,status_raw,status_norm,captured_at_jst,safe_until_jst,protection_status,last_event_at,last_event_owner,event_count,confidence,enemy_flag,destroyed_flag,warning_flags,source_row,updated_at_jst,memo
#511:G-5,#511,G-5,漁場,fishery,199,599,JL2,,unknown,unknown,unknown,,active,owned,2026/05/23 10:36,,safe_time_missing,2026/05/23 10:36,JL2,0,medium,FALSE,FALSE,missing_owner_server;unknown_affiliation,1157,2026-05-30T23:03:59+09:00,
#511:c-2,#511,c-2,交易地,trade,49,249,fIrE,,unknown,unknown,unknown,,active,owned,2026/05/22 23:15,,safe_time_missing,2026/05/22 23:15,fIrE,0,medium,FALSE,FALSE,missing_owner_server;unknown_affiliation,1162,2026-05-30T23:03:59+09:00,
#511:d-2,#511,d-2,交易地,trade,49,349,Stj,,unknown,unknown,unknown,,active,owned,2026/05/22 23:15,,safe_time_missing,2026/05/22 23:15,Stj,0,medium,FALSE,FALSE,missing_owner_server;unknown_affiliation,1163,2026-05-30T23:03:59+09:00,
#511:g-2,#511,g-2,交易地,trade,49,649,one,,unknown,unknown,unknown,,active,owned,2026/05/22 23:15,,safe_time_missing,2026/05/22 23:15,one,0,medium,FALSE,FALSE,missing_owner_server;unknown_affiliation,1165,2026-05-30T23:03:59+09:00,
#511:G-15,#511,G-15,漁場,fishery,699,599,sbM,,unknown,unknown,unknown,,active,owned,2026/05/22 21:12,,safe_time_missing,2026/05/22 21:12,sbM,0,medium,FALSE,FALSE,missing_owner_server;unknown_affiliation,1168,2026-05-30T23:03:59+09:00,
#511:F-15,#511,F-15,漁場,fishery,699,499,sbM,,unknown,unknown,unknown,,active,owned,2026/05/22 20:18,,safe_time_missing,2026/05/22 20:18,sbM,0,medium,FALSE,FALSE,missing_owner_server;unknown_affiliation,1169,2026-05-30T23:03:59+09:00,
#511:H-3,#511,H-3,漁場,fishery,99,699,JL2,,unknown,unknown,unknown,,active,owned,2026/05/22 12:35,,safe_time_missing,2026/05/22 12:35,JL2,0,medium,FALSE,FALSE,missing_owner_server;unknown_affiliation,1170,2026-05-30T23:03:59+09:00,
#511:J-15,#511,J-15,漁場,fishery,699,899,CDf8,,unknown,unknown,unknown,,active,owned,2026/05/28 9:36,,safe_time_missing,2026/05/28 9:36,CDf8,0,medium,FALSE,FALSE,missing_owner_server;unknown_affiliation,1172,2026-05-30T23:03:59+09:00,
#511:K-15,#511,K-15,漁場,fishery,699,978,WbW,,unknown,unknown,unknown,,active,owned,2026/05/22 11:23,,safe_time_missing,2026/05/22 11:23,WbW,0,medium,FALSE,FALSE,missing_owner_server;unknown_affiliation,1173,2026-05-30T23:03:59+09:00,
#511:E-17,#511,E-17,漁場,fishery,799,399,sbM,,unknown,unknown,unknown,,active,owned,2026/05/22 7:38,,safe_time_missing,2026/05/22 7:38,sbM,0,medium,FALSE,FALSE,missing_owner_server;unknown_affiliation,1174,2026-05-30T23:03:59+09:00,
#511:H-1,#511,H-1,漁場,fishery,20,699,ALj,,unknown,unknown,unknown,,active,owned,2026/05/27 23:42,,safe_time_missing,2026/05/27 23:42,ALj,0,medium,FALSE,FALSE,missing_owner_server;unknown_affiliation,1175,2026-05-30T23:03:59+09:00,
#511:F-17,#511,F-17,漁場,fishery,799,499,sbM,,unknown,unknown,unknown,,active,owned,2026/05/21 17:43,,safe_time_missing,2026/05/21 17:43,sbM,0,medium,FALSE,FALSE,missing_owner_server;unknown_affiliation,1177,2026-05-30T23:03:59+09:00,
